"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 14 13:21:14 GMT 2025","Thu Aug 14 13:21:14 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"skipped","Thu Aug 14 13:08:27 GMT 2025","Thu Aug 14 13:08:27 GMT 2025","2","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"broken","Thu Aug 14 13:08:27 GMT 2025","Thu Aug 14 13:08:27 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"skipped","Thu Aug 14 13:30:19 GMT 2025","Thu Aug 14 13:30:19 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"broken","Thu Aug 14 13:19:03 GMT 2025","Thu Aug 14 13:19:03 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"broken","Thu Aug 14 13:09:10 GMT 2025","Thu Aug 14 13:09:52 GMT 2025","41691","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"broken","Thu Aug 14 13:14:52 GMT 2025","Thu Aug 14 13:14:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserDeletion","registrationPortalUserDeletion",""
"skipped","Thu Aug 14 13:30:19 GMT 2025","Thu Aug 14 13:30:19 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
"broken","Thu Aug 14 13:31:21 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","30696","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","revokePortalAccess","revokePortalAccess",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"broken","Thu Aug 14 13:24:46 GMT 2025","Thu Aug 14 13:28:19 GMT 2025","213085","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"broken","Thu Aug 14 13:21:14 GMT 2025","Thu Aug 14 13:21:14 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","tearDown","tearDown",""
"broken","Thu Aug 14 13:19:02 GMT 2025","Thu Aug 14 13:19:02 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"broken","Thu Aug 14 13:14:52 GMT 2025","Thu Aug 14 13:14:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"broken","Thu Aug 14 13:09:33 GMT 2025","Thu Aug 14 13:14:40 GMT 2025","306573","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"broken","Thu Aug 14 13:34:55 GMT 2025","Thu Aug 14 13:34:55 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"skipped","Thu Aug 14 13:34:55 GMT 2025","Thu Aug 14 13:34:55 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"broken","Thu Aug 14 13:23:31 GMT 2025","Thu Aug 14 13:23:31 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"broken","Thu Aug 14 13:24:43 GMT 2025","Thu Aug 14 13:24:43 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
"passed","Thu Aug 14 13:10:02 GMT 2025","Thu Aug 14 13:10:21 GMT 2025","19469","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"broken","Thu Aug 14 13:23:31 GMT 2025","Thu Aug 14 13:23:31 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","tearDown","tearDown",""
"broken","Thu Aug 14 13:08:27 GMT 2025","Thu Aug 14 13:08:27 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Thu Aug 14 13:31:52 GMT 2025","Thu Aug 14 13:31:52 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
